datetime,date,hour,frequency_demand,frequency_price
2025/7/1 4:00,2025/7/1,4,523.0333333,19.78688333
2025/7/1 5:00,2025/7/1,5,525.2,0
2025/7/1 6:00,2025/7/1,6,525.3,17.95598333
2025/7/1 7:00,2025/7/1,7,551.775,18.78168333
2025/7/1 8:00,2025/7/1,8,523.15,16.05926667
2025/7/1 9:00,2025/7/1,9,800,14.73096667
2025/7/1 10:00,2025/7/1,10,800,11.7752
2025/7/1 11:00,2025/7/1,11,800,11.49996667
2025/7/1 12:00,2025/7/1,12,803.7,18.76373333
2025/7/1 13:00,2025/7/1,13,805.3083333,14.12665
2025/7/1 14:00,2025/7/1,14,799.225,17.17216667
2025/7/1 15:00,2025/7/1,15,790.775,3.1233
2025/7/1 16:00,2025/7/1,16,788.7916667,15.87378333
2025/7/1 17:00,2025/7/1,17,844.4,0
2025/7/1 18:00,2025/7/1,18,524.9,0
2025/7/1 19:00,2025/7/1,19,524.5666667,0
2025/7/1 20:00,2025/7/1,20,524.9,0
2025/7/1 21:00,2025/7/1,21,549.95,0
2025/7/1 22:00,2025/7/1,22,788.3,0
2025/7/1 23:00,2025/7/1,23,800,0
2025/7/2 0:00,2025/7/2,0,800,1.447966667
2025/7/2 1:00,2025/7/2,1,797.4166667,4.672983333
2025/7/2 2:00,2025/7/2,2,786.425,7.52105
2025/7/2 3:00,2025/7/2,3,787.5166667,19.80483333
2025/7/2 4:00,2025/7/2,4,520.6333333,0
2025/7/2 5:00,2025/7/2,5,524.4333333,15.20365
2025/7/2 6:00,2025/7/2,6,525.4,7.676616667
2025/7/2 7:00,2025/7/2,7,525,0
2025/7/2 8:00,2025/7/2,8,525.3,4.29005
2025/7/2 9:00,2025/7/2,9,799.6,28.73795
2025/7/2 10:00,2025/7/2,10,797.7,9.4417
2025/7/2 11:00,2025/7/2,11,800,12.31968333
2025/7/2 12:00,2025/7/2,12,795.975,9.02885
2025/7/2 13:00,2025/7/2,13,796.3,15.67633333
2025/7/2 14:00,2025/7/2,14,798.9,13.69585
2025/7/2 15:00,2025/7/2,15,774.7166667,12.76843333
2025/7/2 16:00,2025/7/2,16,800,15.56265
2025/7/2 17:00,2025/7/2,17,800,17.67476667
2025/7/2 18:00,2025/7/2,18,525,0
2025/7/2 19:00,2025/7/2,19,525.275,10.9495
2025/7/2 20:00,2025/7/2,20,525.3,12.46926667
2025/7/2 21:00,2025/7/2,21,525,0
2025/7/2 22:00,2025/7/2,22,800,13.51635
2025/7/2 23:00,2025/7/2,23,800,8.95705
2025/7/3 0:00,2025/7/3,0,800,0
2025/7/3 1:00,2025/7/3,1,800,0
2025/7/3 2:00,2025/7/3,2,800,9.866516667
2025/7/3 3:00,2025/7/3,3,826.7333333,13.36676667
2025/7/3 4:00,2025/7/3,4,567.2,3.404516667
2025/7/3 5:00,2025/7/3,5,525,23.40081667
2025/7/3 6:00,2025/7/3,6,525.375,4.68495
2025/7/3 7:00,2025/7/3,7,524.9,32.9921
2025/7/3 8:00,2025/7/3,8,525,14.61728333
2025/7/3 9:00,2025/7/3,9,799.85,22.79051667
2025/7/3 10:00,2025/7/3,10,799.6,8.3288
2025/7/3 11:00,2025/7/3,11,800,9.669066667
2025/7/3 12:00,2025/7/3,12,800,13.15136667
2025/7/3 13:00,2025/7/3,13,800,12.94793333
2025/7/3 14:00,2025/7/3,14,798.025,15.55068333
2025/7/3 15:00,2025/7/3,15,813.3166667,14.46171667
2025/7/3 16:00,2025/7/3,16,800,8.604033333
2025/7/3 17:00,2025/7/3,17,799.475,14.50958333
2025/7/3 18:00,2025/7/3,18,525,0
2025/7/3 19:00,2025/7/3,19,525,0
2025/7/3 20:00,2025/7/3,20,525,0
2025/7/3 21:00,2025/7/3,21,525,0
2025/7/3 22:00,2025/7/3,22,800,0
2025/7/3 23:00,2025/7/3,23,798.5333333,0
2025/7/4 0:00,2025/7/4,0,797.3,0
2025/7/4 1:00,2025/7/4,1,801.0583333,0
2025/7/4 2:00,2025/7/4,2,796.8,9.96225
2025/7/4 3:00,2025/7/4,3,815.975,19.63131667
2025/7/4 4:00,2025/7/4,4,541.2,13.12743333
2025/7/4 5:00,2025/7/4,5,525,24.09488333
2025/7/4 6:00,2025/7/4,6,525.7,14.55146667
2025/7/4 7:00,2025/7/4,7,525.3,2.973716667
2025/7/4 8:00,2025/7/4,8,525,6.545766667
2025/7/4 9:00,2025/7/4,9,800,2.004416667
2025/7/4 10:00,2025/7/4,10,800,22.85035
2025/7/4 11:00,2025/7/4,11,799.9,2.860033333
2025/7/4 12:00,2025/7/4,12,800,39.1669
2025/7/4 13:00,2025/7/4,13,800,5.175583333
2025/7/4 14:00,2025/7/4,14,803.8,27.73873333
2025/7/4 15:00,2025/7/4,15,800,2.919866667
2025/7/4 16:00,2025/7/4,16,800,5.396966667
2025/7/4 17:00,2025/7/4,17,799.4,3.32075
2025/7/4 18:00,2025/7/4,18,522.25,4.03875
2025/7/4 19:00,2025/7/4,19,525,3.344683333
2025/7/4 20:00,2025/7/4,20,525.8,1.99245
2025/7/4 21:00,2025/7/4,21,525,0
2025/7/4 22:00,2025/7/4,22,795.3083333,5.947433333
2025/7/4 23:00,2025/7/4,23,801.3833333,0
2025/7/5 0:00,2025/7/5,0,798,0.70005
2025/7/5 1:00,2025/7/5,1,800,0
2025/7/5 2:00,2025/7/5,2,800,0.729966667
2025/7/5 3:00,2025/7/5,3,800,32.14845
2025/7/5 4:00,2025/7/5,4,523.1,24.58551667
2025/7/5 5:00,2025/7/5,5,525,2.447183333
2025/7/5 6:00,2025/7/5,6,525.3,0
2025/7/5 7:00,2025/7/5,7,525.1,7.042383333
2025/7/5 8:00,2025/7/5,8,525,5.355083333
2025/7/5 9:00,2025/7/5,9,799.4,2.758316667
2025/7/5 10:00,2025/7/5,10,799.2,1.477883333
2025/7/5 11:00,2025/7/5,11,800,3.9849
2025/7/5 12:00,2025/7/5,12,800,4.966166667
2025/7/5 13:00,2025/7/5,13,799.0916667,33.08185
